timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-17 13:43:01.6756483Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 3508 MpDefenderCoreService.exe",,,,,,,,,,,,18446712763263483904,18446712763263459328,140726305414320,0,1027941441536,13196,1027939827712,1027939762176,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:06.4628656Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:06.7163513Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:06.9696091Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:07.2337734Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:07.4849063Z","Custom","EDRi-Provider",4242,"[<] Before decrypting attack exe","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:07.4864944Z","Custom","EDRi-Provider",4242,"[>]  After decrypting attack exe","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:08.4948611Z","Custom","EDRi-Provider",4242,"[<] Before executing attack exe","15676 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:09.7233706Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2476 smartscreen.exe",3064,,," 2476 smartscreen.exe",,,,,,,,,,,,18446712763269230592,18446712763269206016,140726305414320,0,867798294528,11752,867799924736,867799916544,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 13:43:09.7928842Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart ","14056 explorer.exe",3644,,,"13160 attack.exe",,,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,,,,,134025901897928117,0,0,"0x","","",14056,7756,7757,3,0,0,1,1756716975,,,,,,,,,,,,,,,,
