timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,as version,av version,engine version,desiredaccess,returncode,accessmask,washardened,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,realeventtime,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,targetthreadalertable,targetthreadcreatetime,targetthreadid,data,startstop,threadtime,deltacpu,deltawall,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,id,process,reason,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,featureid,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,cycletime,createtime,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,first resource path,first resource type,resource count,scan source,startqpc,allocationtype,baseaddress,protectionmask,regionsize,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,fullregionsize,lastprotectionmask,targetaddress,processimagepath,taintreason,channel,eventid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-19 07:41:12.8442420Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5040 EDRi.exe",492,,,"    4 System",,,,,,,,,,,,18446712763326599168,18446712763326574592,18446735309786380832,0,0,12712,0,0,18446735309786380832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:16.9920912Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFileInfo ","    4 System",8252,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,,,128,83886112,18446661101953848144,18446661101925780120,8252,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:16.9921097Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreateInfo ","    4 System",8252,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,,,,,,,,,18446639097665227712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:16.9998523Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info ","12192 MsMpEng.exe",16008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.437.42.0","1.437.42.0","1.1.25080.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:17.3091048Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"Info ","12192 MsMpEng.exe",13824,,,"12192 MsMpEng.exe",13824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:17.3116347Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"Info ","12192 MsMpEng.exe",13824,,,"12192 MsMpEng.exe",13824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:17.5644692Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 8056 procexp64.exe",6816,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33554432,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:17.5645047Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 8056 procexp64.exe",6816,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:17.5654933Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess","12192 MsMpEng.exe",16008,," 8056 procexp64.exe","  812 winlogon.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 07:41:17.5662714Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess","12192 MsMpEng.exe",16008,," 8056 procexp64.exe","  524 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
