timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,foldername,accessmask,washardened,classification,eventtype,fileid,fileusn,info,scansource,desiredaccess,returncode,creationtime,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,featureid,defaultbase,imagebase,imagesize,data,startstop,threadtime,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,first resource path,first resource type,id,resource count,scan source,type,startqpc,actionstatus,allsigseqs,allsigshas,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scantype,sha1,sha256,threatname,vpath
"2025-11-09 20:58:21.5693359Z","2025-11-09 20:58:21.5693359Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4904 ServiceHub.Host.dotnet.x64.exe",7436,,," 4904 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,,115615540,18446651185659084800,18446651185659056128,140733705034080,0,1056855638016,7436,1762721901569335900,1056860798976,1056860774400,140733705034080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:21.824148900Z","2025-11-09 20:58:21.8241524Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7784 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,1762721901824152400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:21.8723443Z","2025-11-09 20:58:21.8723443Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 7248 <not found>",10356,,," 7248 <not found>",,,,,,,,,,,,,,18446651185693884416,18446651185693855744,140733869440912,0,82750398464,10944,1762721901872344300,82770984960,82770976768,140733869440912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0620533Z","2025-11-09 20:58:22.0620533Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",10660,,,"10936 <not found>",,,,,,,,,,,,,374932,18446651185675403264,18446651185675374592,140735219981248,0,602497613824,10660,1762721902062053300,602501808128,602501758976,140735219981248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0620588Z","2025-11-09 20:58:22.0620588Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",3416,,,"10936 <not found>",,,,,,,,,,,,,45132245,18446651185675173888,18446651185675145216,140702137881264,0,602497581056,3416,1762721902062058800,602499710976,602499661824,140702137881264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0620639Z","2025-11-09 20:58:22.0620639Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",9128,,,"10936 <not found>",,,,,,,,,,,,,19358220,18446651185675370496,18446651185675341824,140735219981248,0,602497605632,9128,1762721902062063900,602501283840,602501234688,140735219981248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0620950Z","2025-11-09 20:58:22.0620950Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",148,,,"10936 <not found>",,,,,,,,,,,,,4180964,18446651185675862016,18446651185675833344,140735219981248,0,602497630208,148,1762721902062095000,602502856704,602502807552,140735219981248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0622006Z","2025-11-09 20:58:22.0622006Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",4936,,,"10936 <not found>",,,,,,,,,,,,,111380,18446651185676103680,18446651185676075008,140735219981248,0,602497638400,4936,1762721902062200600,602503380992,602503331840,140735219981248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0622202Z","2025-11-09 20:58:22.0622202Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",9208,,,"10936 <not found>",,,,,,,,,,,,,138575,18446651185675829248,18446651185675800576,140735210965680,0,602497622016,9208,1762721902062220200,602502332416,602502283264,140735210965680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-09 20:58:22.0622388Z","2025-11-09 20:58:22.0622388Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10936 <not found>",7532,,,"10936 <not found>",,,,,,,,,,,,,1767625,18446651185675239424,18446651185675210752,140735219981248,0,602497589248,7532,1762721902062238800,602500235264,602500186112,140735219981248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
