timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 07:44:00.4644626Z","2025-10-27 07:44:00.4644626Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5768 smartscreen.exe",9316,,," 5768 smartscreen.exe",,,,,,,,,,,,7854220,18446672673175924736,18446672673175900160,140737174395840,0,533115801600,9316,533118582784,533118554112,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:00.4645091Z","2025-10-27 07:44:00.4645091Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5768 smartscreen.exe",3716,,," 5768 smartscreen.exe",,,,,,,,,,,,16290600,18446672673176211456,18446672673176186880,140737174395840,0,533115826176,3716,533120155648,533120126976,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:00.4645528Z","2025-10-27 07:44:00.4645528Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5768 smartscreen.exe",8168,,," 5768 smartscreen.exe",,,,,,,,,,,,6645820,18446672673176842240,18446672673176817664,140737174395840,0,533115842560,8168,533121204224,533121175552,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:00.4646200Z","2025-10-27 07:44:00.4646200Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5768 smartscreen.exe",11044,,," 5768 smartscreen.exe",,,,,,,,,,,,67453420,18446672673176154112,18446672673176129536,140737174395840,0,533115817984,11044,533119631360,533119602688,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:07.954207500Z","2025-10-27 07:44:07.9542112Z","myETW","EDRi-Provider",4242,"EDRi-Event","10232 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:08.960226900Z","2025-10-27 07:44:08.9602301Z","myETW","EDRi-Provider",4242,"EDRi-Event","10232 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:08.965021700Z","2025-10-27 07:44:08.9650247Z","myETW","EDRi-Provider",4242,"EDRi-Event","10232 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:09.965668600Z","2025-10-27 07:44:09.9656724Z","myETW","EDRi-Provider",4242,"EDRi-Event","10232 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:11.0410583Z","2025-10-27 07:44:11.0410583Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart ","10232 EDRi.exe",7704,,," 9096 attack-131.exe",,,"C:\Users\Public\Downloads\attack-131.exe",,,,,,,,,,,,,,,,,,,134060246510409827,0,0,"0x","","",10232,915,918,2,1,0,1,1761550891,,,,,,,,,,,,,,,
"2025-10-27 07:44:11.0442233Z","2025-10-27 07:44:11.0442233Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","10232 EDRi.exe",7704,,," 9096 attack-131.exe",,,,,,,,,,,,,18446672673155153920,18446672673155129344,140694787213056,0,119468011520,11192,119465771008,119465766912,140694787213056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
