timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 11:58:57.350161400Z","2025-10-27 11:58:57.3501657Z","myETW","EDRi-Provider",4242,"EDRi-Event","11364 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:58:58.3758684Z","2025-10-27 11:58:58.3758684Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","11364 EDRi.exe",9612,,," 3944 MsMpEng.exe",,,,,,,,,,,,18446672673172754432,18446672673172729856,2531215544016,0,775799873536,8932,775816740864,775816675328,2531215544016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:58:58.3768980Z","2025-10-27 11:58:58.3768980Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3944 MsMpEng.exe",8932,,," 3944 MsMpEng.exe",,,,,,,,,,,,18446672673183006720,18446672673182982144,2531215883616,0,775799881728,13036,775820935168,775820869632,2531215883616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:58:58.3770183Z","2025-10-27 11:58:58.3770183Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3944 MsMpEng.exe",8932,,," 3944 MsMpEng.exe",,,,,,,,,,,,18446672673172754432,18446672673172729856,2531215544016,0,775799873536,8932,775816740864,775816675328,2531215544016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:58:58.5639290Z","2025-10-27 11:58:58.5639290Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3944 MsMpEng.exe",13036,,," 3944 MsMpEng.exe",,,,,,,,,,,,18446672673183006720,18446672673182982144,2531215883616,0,775799881728,13036,775820935168,775820869632,2531215883616,662172420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:00.399896800Z","2025-10-27 11:59:00.3999015Z","myETW","EDRi-Provider",4242,"EDRi-Event","11364 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:00.405617800Z","2025-10-27 11:59:00.4056621Z","myETW","EDRi-Provider",4242,"EDRi-Event","11364 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:01.421889600Z","2025-10-27 11:59:01.4218946Z","myETW","EDRi-Provider",4242,"EDRi-Event","11364 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.5672949Z","2025-10-27 11:59:02.5672949Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart ","11364 EDRi.exe",14956,,," 8156 attack-187.exe",,,"C:\Users\Public\Downloads\attack-187.exe",,,,,,,,,,,,,,,,,,,134060399425672088,0,0,"0x","","",11364,5703,5709,2,1,0,1,1761550891,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.5713831Z","2025-10-27 11:59:02.5713831Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","11364 EDRi.exe",14956,,," 8156 attack-187.exe",,,,,,,,,,,,18446672673107877888,18446672673107853312,140697554339584,0,503564570624,13380,503563616256,503563612160,140697554339584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.6063179Z","2025-10-27 11:59:02.6063179Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Users\Public\Downloads\attack-187.exe",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1761550891,140697554321408,140697554321408,57344,,,,,,,,,,,,
"2025-10-27 11:59:02.6063556Z","2025-10-27 11:59:02.6063556Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,,,,,2538757,,,,,,,,,,,592187216,140737173913600,140737173913600,2523136,,,,,,,,,,,,
"2025-10-27 11:59:02.607073100Z","2025-10-27 11:59:02.6070758Z","myETW","EDRi-Provider",4242,"EDRi-Event","11364 EDRi.exe",,,,,,"After starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.607675300Z","2025-10-27 11:59:02.6076769Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 3944 MsMpEng.exe",,"NtOpenFile C:\Users\Public\Downloads\attack-187.exe with 0x100080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.6083997Z","2025-10-27 11:59:02.6083997Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,,,,,844151,,,,,,,,,,,1746094868,140737159757824,140737159757824,823296,,,,,,,,,,,,
"2025-10-27 11:59:02.6085779Z","2025-10-27 11:59:02.6085779Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,,,,,4201576,,,,,,,,,,,1981517683,140737125220352,140737125220352,4136960,,,,,,,,,,,,
"2025-10-27 11:59:02.612741000Z","2025-10-27 11:59:02.6127424Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtOpenProcess with 0x1410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.612751000Z","2025-10-27 11:59:02.6127515Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 8 bytes at 0x000000753ec98010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.612755800Z","2025-10-27 11:59:02.6127564Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 8 bytes at 0x000000753ec98018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.612758700Z","2025-10-27 11:59:02.6127590Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 8 bytes at 0x00007fffed5f2920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.612760500Z","2025-10-27 11:59:02.6127608Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 136 bytes at 0x0000022fb6583710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.612770300Z","2025-10-27 11:59:02.6127707Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.614992400Z","2025-10-27 11:59:02.6149947Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtOpenProcess with 0x1410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.615007100Z","2025-10-27 11:59:02.6150077Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.6950175Z","2025-10-27 11:59:02.6950175Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\apphelp.dll",,,,,,,,,,,,,,,,,,,,,685021,,,,,,,,,,,306558241,140737076527104,140737076527104,651264,,,,,,,,,,,,
"2025-10-27 11:59:02.7090299Z","2025-10-27 11:59:02.7090299Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\advapi32.dll",,,,,,,,,,,,,,,,,,,,,806569,,,,,,,,,,,3871129049,140737156415488,140737156415488,737280,,,,,,,,,,,,
"2025-10-27 11:59:02.7091988Z","2025-10-27 11:59:02.7091988Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\msvcrt.dll",,,,,,,,,,,,,,,,,,,,,758106,,,,,,,,,,,3198461912,140737152090112,140737152090112,692224,,,,,,,,,,,,
"2025-10-27 11:59:02.7093296Z","2025-10-27 11:59:02.7093296Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,,,,,,,,,,18446672673108586496,18446672673108561920,140737174395840,0,503564578816,6444,503567089664,503567085568,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.7094826Z","2025-10-27 11:59:02.7094826Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\sechost.dll",,,,,,,,,,,,,,,,,,,,,731199,,,,,,,,,,,117823328,140737138589696,140737138589696,679936,,,,,,,,,,,,
"2025-10-27 11:59:02.7096770Z","2025-10-27 11:59:02.7096770Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\rpcrt4.dll",,,,,,,,,,,,,,,,,,,,,1185784,,,,,,,,,,,3598429018,140737167687680,140737167687680,1146880,,,,,,,,,,,,
"2025-10-27 11:59:02.7099213Z","2025-10-27 11:59:02.7099213Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\ucrtbase.dll",,,,,,,,,,,,,,,,,,,,,1399211,,,,,,,,,,,1508749768,140737133740032,140737133740032,1355776,,,,,,,,,,,,
"2025-10-27 11:59:02.7099456Z","2025-10-27 11:59:02.7099456Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8156 attack-187.exe",6444,,," 8156 attack-187.exe",,,,,,,,,,,,18446672673108779008,18446672673108754432,140737174395840,0,503564587008,13800,503568138240,503568134144,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.7112540Z","2025-10-27 11:59:02.7112540Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",6444,,," 8156 attack-187.exe",,,"C:\Windows\System32\msvcp140.dll",,,,,,,,,,,,,,,,,,,,,570439,,,,,,,,,,,1564323704,140735587352576,140735587352576,561152,,,,,,,,,,,,
"2025-10-27 11:59:02.7121459Z","2025-10-27 11:59:02.7121459Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",6444,,," 8156 attack-187.exe",,,"C:\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,146072,,,,,,,,,,,254123393,140735588007936,140735588007936,122880,,,,,,,,,,,,
"2025-10-27 11:59:02.7125899Z","2025-10-27 11:59:02.7125899Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13380,,," 8156 attack-187.exe",,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,,,,,57827,,,,,,,,,,,240324076,140735587942400,140735587942400,49152,,,,,,,,,,,,
"2025-10-27 11:59:02.7129750Z","2025-10-27 11:59:02.7129750Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8156 attack-187.exe",13800,,," 8156 attack-187.exe",,,,,,,,,,,,18446672673109037056,18446672673109012480,140737174395840,0,503564595200,1892,503569186816,503569182720,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:02.7139567Z","2025-10-27 11:59:02.7139567Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 8156 attack-187.exe",13800,,," 8156 attack-187.exe",,,"C:\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,146072,,,,,,,,,,,254123393,2403946987520,2403946987520,122880,,,,,,,,,,,,
"2025-10-27 11:59:02.7140476Z","2025-10-27 11:59:02.7140476Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 8156 attack-187.exe",13800,,," 8156 attack-187.exe",,,"C:\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,146072,,,,,,,,,,,254123393,2403946987520,2403946987520,122880,,,,,,,,,,,,
"2025-10-27 11:59:02.724499100Z","2025-10-27 11:59:02.7245028Z","myETW","Attack-Provider",1337,"Attack-Provider"," 8156 attack-187.exe",,,,,,"Injector started with PID 8156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.081136700Z","2025-10-27 11:59:03.0811409Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtOpenProcess with 0x101000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.081181600Z","2025-10-27 11:59:03.0811828Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.0822764Z","2025-10-27 11:59:03.0822764Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3944 MsMpEng.exe",15056,,," 3944 MsMpEng.exe",,,,,,,,,,,,18446672673167421440,18446672673167396864,140734493461056,247,775799889920,6364,775816740864,775816675328,140734493461056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.083692000Z","2025-10-27 11:59:03.0836934Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtOpenProcess with 0x418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.083704200Z","2025-10-27 11:59:03.0837047Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 8 bytes at 0x000000753ec98018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.083709900Z","2025-10-27 11:59:03.0837104Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 8 bytes at 0x00007fffed5f2920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.083713800Z","2025-10-27 11:59:03.0837142Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 312 bytes at 0x0000022fb6583710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.083716900Z","2025-10-27 11:59:03.0837172Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 312 bytes at 0x0000022fb65834e0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:59:03.083718500Z","2025-10-27 11:59:03.0837186Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3944 MsMpEng.exe",,,," 8156 attack-187.exe",,"NtReadVirtualMemory 312 bytes at 0x0000022fb6588480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
