timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,id,process,reason,threadtime,action,key,vault,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,attrid,attrseq,attrsubset,featureid,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,data,startstop,deltacpu,deltawall,accessmask,washardened,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,linksourcename,linktargetname,createtime,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,first resource path,first resource type,resource count,scan source,type,startqpc,fullregionsize,lastprotectionmask,targetaddress,channel,eventid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,processimagepath,taintreason,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,oldfilename,count,terminationtime
"2025-12-15 13:25:40.8830135Z","myETW","0","0","2025-12-15 13:25:40.882998700Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\kernel.appcore.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765805140882998700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8835965Z","myETW","0","0","2025-12-15 13:25:40.883590200Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\clbcatq.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765805140883590200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8859031Z","myETW","0","0","2025-12-15 13:25:40.885897500Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\pla.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765805140885897500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8864270Z","myETW","0","0","2025-12-15 13:25:40.886255100Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtQueryInformationProcess with InfoClass=ProcessDeviceMap",,,,,,,,,,,1765805140886255100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8862762Z","myETW","0","0","2025-12-15 13:25:40.886271300Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtCreateFile \??\C:\Windows\System32\pla.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE and Disposition='open or fail if not exists'",,,,,,,,,,,1765805140886271300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8872829Z","myETW","0","0","2025-12-15 13:25:40.887278000Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\SHCore.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765805140887278000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8883788Z","myETW","0","0","2025-12-15 13:25:40.888373700Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\nsi.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765805140888373700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8887719Z","myETW","0","0","2025-12-15 13:25:40.888645500Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtQueryInformationProcess with InfoClass=ProcessDeviceMap",,,,,,,,,,,1765805140888645500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8886701Z","myETW","0","0","2025-12-15 13:25:40.888665800Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtCreateFile \??\C:\Windows\System32\nsi.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE and Disposition='open or fail if not exists'",,,,,,,,,,,1765805140888665800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:25:40.8895976Z","myETW","0","0","2025-12-15 13:25:40.889592500Z","Hook-Provider",7007,"HookTask","12324 MsMpEng.exe",,,,"12324 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\ntmarta.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765805140889592500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
