timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,eventid,featuretype,keypath,newvalue,oldvalue,usermode,valuename,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,featureid,action,key,vault,creationtime,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,desiredaccess,returncode,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,id,process,reason,threadtime,biggestoffsetwritten,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,classification,eventtype,fileid,fileusn,info,scansource,integritylevel,imagepath,processcontextid,accessmask,washardened,data,startstop,deltacpu,deltawall,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,count,terminationtime,oldfilename,operationstatus,targetthreadcreatetime,targetthreadid,bytescopied,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,first resource path,first resource type,resource count,scan source,type,startqpc,channel,fullregionsize,lastprotectionmask,targetaddress,processimagepath,taintreason
"2025-11-24 17:06:27.4246266Z","myETW","0","0","2025-11-24 17:06:27.424731800Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\kernel.appcore.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1764003987424626600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4253029Z","myETW","0","0","2025-11-24 17:06:27.425491700Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\clbcatq.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1764003987425302900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4281968Z","myETW","0","0","2025-11-24 17:06:27.428638100Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\pla.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1764003987428196800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4283642Z","myETW","0","0","2025-11-24 17:06:27.428827600Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\SHCore.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1764003987428364200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4285946Z","myETW","0","0","2025-11-24 17:06:27.429077000Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\nsi.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1764003987428594600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4288586Z","myETW","0","0","2025-11-24 17:06:27.429368100Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtCreateFile \??\C:\Windows\System32\pla.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE and Disposition='open or fail if not exists'",,,,,,,,,,,1764003987428858600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4288601Z","myETW","0","0","2025-11-24 17:06:27.429336300Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtQueryInformationProcess with InfoClass=ProcessDeviceMap",,,,,,,,,,,1764003987428860100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4292256Z","myETW","0","0","2025-11-24 17:06:27.429768300Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtCreateFile \??\C:\Windows\System32\nsi.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE and Disposition='open or fail if not exists'",,,,,,,,,,,1764003987429225600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4292342Z","myETW","0","0","2025-11-24 17:06:27.429740400Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtQueryInformationProcess with InfoClass=ProcessDeviceMap",,,,,,,,,,,1764003987429234200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-24 17:06:27.4296672Z","myETW","0","0","2025-11-24 17:06:27.430249900Z","Hook-Provider",7007,"HookTask"," 3488 MsMpEng.exe",,,," 3488 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\ntmarta.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1764003987429667200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
