timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,id,process,reason,threadtime,action,key,vault,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,attrid,attrseq,attrsubset,featureid,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,data,startstop,deltacpu,deltawall,accessmask,washardened,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,operationstatus,targetthreadcreatetime,targetthreadid,createtime,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,bytescopied,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,first resource path,first resource type,resource count,scan source,type,startqpc,channel,eventid,count,terminationtime,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,realeventtime,targetthreadalertable,connid,daddr,dport,saddr,seqnum,size,sport,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,records
"2025-12-06 10:41:40.0406393Z","myETW","0","0","2025-12-06 10:41:40.040596000Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\kernel.appcore.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765017700040596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0411988Z","myETW","0","0","2025-12-06 10:41:40.041155700Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\clbcatq.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765017700041155700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0435588Z","myETW","0","0","2025-12-06 10:41:40.043468600Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\pla.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765017700043468600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0436827Z","myETW","0","0","2025-12-06 10:41:40.043589900Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\SHCore.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765017700043589900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0438262Z","myETW","0","0","2025-12-06 10:41:40.043683000Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtQueryInformationProcess with InfoClass=ProcessDeviceMap",,,,,,,,,,,1765017700043683000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0437992Z","myETW","0","0","2025-12-06 10:41:40.043699300Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtCreateFile \??\C:\Windows\System32\pla.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE and Disposition='open or fail if not exists'",,,,,,,,,,,1765017700043699300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0439103Z","myETW","0","0","2025-12-06 10:41:40.043813100Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\nsi.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765017700043813100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0442019Z","myETW","0","0","2025-12-06 10:41:40.044062200Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtQueryInformationProcess with InfoClass=ProcessDeviceMap",,,,,,,,,,,1765017700044062200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0441941Z","myETW","0","0","2025-12-06 10:41:40.044091800Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtCreateFile \??\C:\Windows\System32\nsi.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE and Disposition='open or fail if not exists'",,,,,,,,,,,1765017700044091800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-06 10:41:40.0449507Z","myETW","0","0","2025-12-06 10:41:40.044832700Z","Hook-Provider",7007,"HookTask","12700 MsMpEng.exe",,,,"12700 MsMpEng.exe",,"NtOpenFile C:\Windows\System32\ntmarta.dll with DesiredAccess=0x100080:FILE_READ_ATTRIBUTES|SYNCHRONIZE",,,,,,,,,,,1765017700044832700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
