timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,desiredaccess,linksourcename,linktargetname,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,classification,eventtype,fileid,fileusn,info,scansource,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,engineid,threadtime,startqpc,channel,eventid,accessmask,washardened,featureid,fullregionsize,lastprotectionmask,targetaddress,data,startstop,deltacpu,deltawall,id,process,reason,cycletime,creationtime,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-18 11:15:12.117696300Z","2025-11-18 11:15:12.1177031Z","myETW","EDRi-Provider",4242,"EDRiTask"," 8888 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1763464512117703100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:13.043496100Z","2025-11-18 11:15:13.1214864Z","myETW","EDRi-Provider",4242,"EDRiTask"," 8888 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1763464513121486400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:14.7846919Z","2025-11-18 11:15:14.7846919Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",4328,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1763464514784691900,128,83886112,18446670421436732160,18446670421458479800,4328,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:14.7847044Z","2025-11-18 11:15:14.7847044Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",4328,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1763464514784704400,,,,,,,18446652282191005456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:17.0330327Z","2025-11-18 11:15:17.0330327Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8908,,,,,,"C:\Program Files\WindowsApps\Microsoft.WindowsStore_22509.1401.17.0_x64__8wekyb3d8bbwe\Assets",,,,,,,,,,1763464517033032700,,,,,,,18446652282189089488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:17.0336534Z","2025-11-18 11:15:17.0336534Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8924,,,,,,"C:\Program Files\WindowsApps\Microsoft.WindowsStore_22509.1401.17.0_x64__8wekyb3d8bbwe\Assets\AppTiles",,,,,,,,,,1763464517033653400,,,,,,,18446652282021832720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:17.0352921Z","2025-11-18 11:15:17.0352921Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8908,,,,,,"C:\Program Files\WindowsApps\Microsoft.WindowsStore_22509.1401.17.0_x64__8wekyb3d8bbwe\Assets\AppTiles\contrast-standard\theme-light",,,,,,,,,,1763464517035292100,,,,,,,18446652282030858624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:17.0353708Z","2025-11-18 11:15:17.0353708Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8924,,,,,,"C:\Program Files\WindowsApps\Microsoft.WindowsStore_22509.1401.17.0_x64__8wekyb3d8bbwe\Assets\AppTiles\contrast-standard\theme-light\StoreAppList.targetsize-16.png::$ATTRIBUTE_LIST",,,,,,,,,,1763464517035370800,,,,,,,18446670421453715296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:17.0736414Z","2025-11-18 11:15:17.0736414Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8908,,,,,,"C:\Program Files\WindowsApps\Microsoft.YourPhone_0.25101.25.0_x64__8wekyb3d8bbwe\Assets\AppTiles",,,,,,,,,,1763464517073641400,,,,,,,18446652282021216640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:15:17.0736821Z","2025-11-18 11:15:17.0736821Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8924,,,,,,"C:\Program Files\WindowsApps\Microsoft.YourPhone_0.25101.25.0_x64__8wekyb3d8bbwe\Assets\AppTiles\AppIcon.targetsize-16.png::$ATTRIBUTE_LIST",,,,,,,,,,1763464517073682100,,,,,,,18446670421449117712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
