timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-19 08:22:25.9806585Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 2740 MsMpEng.exe",10940,,," 2740 MsMpEng.exe",,,,,,,,,,,,367700,18446656690346983424,18446656690346954752,140725944310960,0,495566266368,10940,495565078528,495565012992,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:28.5414660Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:28.7927452Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:29.0454106Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:29.3007298Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:29.5528154Z","Custom","EDRi-Provider",4242,"[<] Before decrypting the attack exe","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:29.5595587Z","Custom","EDRi-Provider",4242,"[>]  After decrypting the attack exe","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:30.5661897Z","Custom","EDRi-Provider",4242,"[<] Before executing the attack exe","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:32.7404684Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8676 smartscreen.exe",3184,,," 8676 smartscreen.exe",,,,,,,,,,,,,18446656690383843328,18446656690383814656,140725944310960,0,1075908780032,1596,1075910803456,1075910795264,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:32.7421118Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8676 smartscreen.exe",3184,,," 8676 smartscreen.exe",,,,,,,,,,,,,18446656690385354752,18446656690385326080,140725944310960,0,1075908788224,2376,1075911852032,1075911843840,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:32.8046749Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart "," 6516 explorer.exe",6692,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,,,,,,134027437528044983,0,0,"0x","","",6516,16138,16701,3,0,0,2,1758267647,,,,,,,,,,,,,,,
"2025-09-19 08:22:32.8124275Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6516 explorer.exe",6692,,," 6232 attack.exe",,,,,,,,,,,,,18446656690348392448,18446656690348363776,140695388045936,0,393371537408,1568,393374334976,393374330880,140695388045936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:32.8608092Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1758267647,140695388028928,140695388028928,53248,,,,,,,,,,,,
"2025-09-19 08:22:32.8612044Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,,,,,2572841,,,,,,,,,,,244743817,140725943795712,140725943795712,2527232,,,,,,,,,,,,
"2025-09-19 08:22:32.8628845Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,,,,,882745,,,,,,,,,,,160271359,140725922234368,140725922234368,823296,,,,,,,,,,,,
"2025-09-19 08:22:32.8631632Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,,,,,4181903,,,,,,,,,,,177944830,140725901262848,140725901262848,4141056,,,,,,,,,,,,
"2025-09-19 08:22:33.0950029Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2740 MsMpEng.exe",4864,,," 2740 MsMpEng.exe",,,,,,,,,,,,,18446656690386857984,18446656690386829312,140725944310960,0,495566299136,3772,495565078528,495565012992,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.1341963Z","Custom","EDRi-Provider",4242,"[>]  After executing the attack exe","10292 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.3236704Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2740 MsMpEng.exe",6616,,," 2740 MsMpEng.exe",,,,,,,,,,,,,18446656690386759680,18446656690386731008,140725633123472,244,495566307328,3768,495571173376,495571107840,140725633123472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.3237361Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2740 MsMpEng.exe",3772,,," 2740 MsMpEng.exe",,,,,,,,,,,,,18446656690387816448,18446656690387787776,140725944310960,0,495566315520,11024,495571697664,495571632128,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.3558014Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 2740 MsMpEng.exe",3768,,," 2740 MsMpEng.exe",,,,,,,,,,,,1933682,18446656690386759680,18446656690386731008,140725633123472,244,495566307328,3768,495571173376,495571107840,140725633123472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.9129736Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\apphelp.dll",,,,,,,,,,,,,,,,,,,,,672307,,,,,,,,,,,2497870442,140725847195648,140725847195648,647168,,,,,,,,,,,,
"2025-09-19 08:22:33.9232423Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\advapi32.dll",,,,,,,,,,,,,,,,,,,,,771919,,,,,,,,,,,2638054253,140725942747136,140725942747136,737280,,,,,,,,,,,,
"2025-09-19 08:22:33.9248318Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\msvcrt.dll",,,,,,,,,,,,,,,,,,,,,732727,,,,,,,,,,,159756539,140725915418624,140725915418624,692224,,,,,,,,,,,,
"2025-09-19 08:22:33.9252372Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6232 attack.exe",1568,,," 6232 attack.exe",,,,,,,,,,,,,18446656690388635648,18446656690388606976,140725944310960,0,393371545600,7492,393375383552,393375379456,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.9253841Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\sechost.dll",,,,,,,,,,,,,,,,,,,,,700521,,,,,,,,,,,2166290279,140725935210496,140725935210496,679936,,,,,,,,,,,,
"2025-09-19 08:22:33.9257300Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\rpcrt4.dll",,,,,,,,,,,,,,,,,,,,,1223202,,,,,,,,,,,2270715780,140725916925952,140725916925952,1146880,,,,,,,,,,,,
"2025-09-19 08:22:33.9260594Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\ucrtbase.dll",,,,,,,,,,,,,,,,,,,,,1375546,,,,,,,,,,,3578273335,140725895102464,140725895102464,1355776,,,,,,,,,,,,
"2025-09-19 08:22:33.9268696Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\msvcp140.dll",,,,,,,,,,,,,,,,,,,,,620190,,,,,,,,,,,2933774624,140725576073216,140725576073216,577536,,,,,,,,,,,,
"2025-09-19 08:22:33.9271059Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6232 attack.exe",7492,,," 6232 attack.exe",,,,,,,,,,,,,18446656690388406272,18446656690388377600,140725944310960,0,393371553792,9876,393376432128,393376428032,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:33.9272859Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,,,,,76051,,,,,,,,,,,252213930,140725642657792,140725642657792,49152,,,,,,,,,,,,
"2025-09-19 08:22:33.9273999Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",7492,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,131291,,,,,,,,,,,2103820678,140725663694848,140725663694848,122880,,,,,,,,,,,,
"2025-09-19 08:22:33.9277154Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,131291,,,,,,,,,,,2103820678,2287398617088,2287398617088,122880,,,,,,,,,,,,
"2025-09-19 08:22:33.9281715Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,131291,,,,,,,,,,,2103820678,2287398617088,2287398617088,122880,,,,,,,,,,,,
"2025-09-19 08:22:33.9316775Z","Custom","Attack-Provider",1337,"[+] Injector started with PID 6232"," 6232 attack.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:34.5454076Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2740 MsMpEng.exe",6616,,," 2740 MsMpEng.exe",,,,,,,,,,,,,18446656690388537344,18446656690388508672,140725900145024,244,495566323712,8260,495571173376,495571152896,140725900145024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:39.9567602Z","Custom","Attack-Provider",1337,"[<] Before starting subprocess to inject to"," 6232 attack.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:39.9966841Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\ApiSetHost.AppExecutionAlias.dll",,,,,,,,,,,,,,,,,,,,,226271,,,,,,,,,,,1533900166,140725404499968,140725404499968,176128,,,,,,,,,,,,
"2025-09-19 08:22:39.9969778Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\combase.dll",,,,,,,,,,,,,,,,,,,,,3718718,,,,,,,,,,,740080917,140725909127168,140725909127168,3649536,,,,,,,,,,,,
"2025-09-19 08:22:39.9974075Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\msvcp_win.dll",,,,,,,,,,,,,,,,,,,,,646521,,,,,,,,,,,1374014297,140725897986048,140725897986048,667648,,,,,,,,,,,,
"2025-09-19 08:22:39.9983463Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",7492,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\profapi.dll",,,,,,,,,,,,,,,,,,,,,182967,,,,,,,,,,,2107422311,140725894184960,140725894184960,167936,,,,,,,,,,,,
"2025-09-19 08:22:39.9990382Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6232 attack.exe",7492,,," 6232 attack.exe",,,,,,,,,,,,,18446656690389762048,18446656690389733376,140725944310960,0,393371561984,11328,393377480704,393377476608,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:40.0006687Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 attack.exe",1568,,," 6232 attack.exe",,,"\Device\HarddiskVolume3\Windows\System32\windows.storage.dll",,,,,,,,,,,,,,,,,,,,,8821142,,,,,,,,,,,83910174,140725857615872,140725857615872,8753152,,,,,,,,,,,,
